		PMPsoln	baseData
hh_1	dwheat_imp	8,90E-01	0,87
hh_1	oat_imp	1,059097996	1,06
hh_1	fababean_loc	0,98	0,98
hh_1	barley_loc	1,230821225	1,25
hh_1	fenugreek_loc	1,77E-16	
hh_2	dwheat_imp	1,35E+01	32,69
hh_2	oat_imp	10,38422078	12,98
hh_2	fababean_loc	9,98	9,98
hh_2	barley_loc	1,56557954	6,61
hh_2	fenugreek_loc	3,44E+00	9,11
hh_2	chickpea_loc	13,73	13,73
